"Date";"Time";"Global_active_power";"Global_reactive_power";"Voltage";"Global_intensity";"Sub_metering_1";"Sub_metering_2";"Sub_metering_3";"dtm"
"1/2/2007";"00:00:00";0.326;0.128;243.15;1.4;0;0;0;2007-02-01 00:00:00
"1/2/2007";"00:02:00";0.324;0.132;243.51;1.4;0;0;0;2007-02-01 00:02:00
"1/2/2007";"00:04:00";0.322;0.13;243.16;1.4;0;0;0;2007-02-01 00:04:00
"1/2/2007";"00:06:00";0.32;0.126;242.46;1.4;0;0;0;2007-02-01 00:06:00
"1/2/2007";"00:08:00";0.32;0.128;242.7;1.4;0;0;0;2007-02-01 00:08:00
"1/2/2007";"00:10:00";0.226;0;243;1;0;0;0;2007-02-01 00:10:00
"1/2/2007";"00:12:00";0.224;0;242.18;1;0;0;0;2007-02-01 00:12:00
"1/2/2007";"00:14:00";0.224;0;242.73;1;0;0;0;2007-02-01 00:14:00
"1/2/2007";"00:16:00";0.304;0.096;242.89;1.2;0;0;0;2007-02-01 00:16:00
"1/2/2007";"00:18:00";0.302;0.094;242.19;1.2;0;0;0;2007-02-01 00:18:00
"1/2/2007";"00:20:00";0.3;0.094;242.16;1.2;0;0;0;2007-02-01 00:20:00
"1/2/2007";"00:22:00";0.298;0.094;242.47;1.2;0;0;0;2007-02-01 00:22:00
"1/2/2007";"00:24:00";0.296;0.096;242.98;1.2;0;0;0;2007-02-01 00:24:00
"1/2/2007";"00:26:00";0.228;0;243.55;1;0;0;0;2007-02-01 00:26:00
"1/2/2007";"00:28:00";0.226;0;243.09;1;0;0;0;2007-02-01 00:28:00
"1/2/2007";"00:30:00";0.226;0;243.22;1;0;0;0;2007-02-01 00:30:00
"1/2/2007";"00:32:00";0.226;0;243.14;1;0;0;0;2007-02-01 00:32:00
"1/2/2007";"00:34:00";0.322;0.094;242.74;1.4;0;0;0;2007-02-01 00:34:00
"1/2/2007";"00:36:00";0.332;0.126;242.91;1.4;0;0;0;2007-02-01 00:36:00
